"Team","Model","Authors","Methods","Website","Metadata"
"BIOCOMSC","BIOCOMSC-Gompertz","Martí Català, Enric Álvarez, Sergio Alonso, Daniel López, Clara Prats","Empirical model based on cases and deaths dynamics.","https://biocomsc.upc.edu/en/covid-19","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/BIOCOMSC-Gompertz.yml"
"University of Cologne Covid Metrics","CovidMetrics-epiBATS","Tom Zimmermann, Arne Rodloff","Forecasts are based on TBATS - models (DeLivera, Hyndman and Snyder (2011)) and are updated daily for each German state.","https://tomz.shinyapps.io/coronaLandkreise/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/CovidMetrics-epiBATS.yml"
"Epiforecasts / London School of Hygiene and Tropical Medicine","epiforecasts-EpiNow2","Nikos Bosse, Sam Abbott, Sebastian Funk","Semi-mechanistic estimation of the time-varying reproduction number for latent infections mapped to reported cases/deaths.","https://epiforecasts.io/EpiNow2","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/epiforecasts-EpiNow2.yml"
"epiforecasts","epiforecasts-weeklygrowth","Sam Abbott","A Bayesian autoregressive model using weekly incidence data, application of the forecast.vocs R package.","https://samabbott.co.uk","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/epiforecasts-weeklygrowth.yml"
"epiMOX","epiMOX-SUIHTER","Giovanni Ardenghi, Giovanni Ziarelli, Luca Dede', Nicola Parolini, Alfio Quarteroni","Compartmental model SUIHTER","https://www.epimox.polimi.it","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/epiMOX-SUIHTER.yml"
"European COVID-19 Forecast Hub","EuroCOVIDhub-ensemble","Katharine Sherratt, Nikos Bosse, Sebastian Funk","An ensemble, or model average, of submitted forecasts to the European COVID-19 Forecast Hub.","https://covid19forecasthub.eu/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/EuroCOVIDhub-ensemble.yml"
"Frankfurt Institute for Advanced Studies & Forschungszentrum Jülich","FIAS_FZJ-Epi1Ger","Maria V. Barbarossa, Jan Fuhrmann, Stefan Krieg, Jan H. Meinke","An extended SEIR model with additional compartments for undetected cases","https://www.fz-juelich.de/SharedDocs/Meldungen/IAS/JSC/DE/2021/2021-01-covid-19.html;jsessionid=F4D5FB4027E871A6F4C2FCAF0F08FC35","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/FIAS_FZJ-Epi1Ger.yml"
"Helmholtz Zentrum fuer Infektionsforschung","HZI-AgeExtendedSEIR","Isti Rodiah, Berit Lange, Pratizio Vanella, Alexander Kuhlmann, Wolfgang Bock","Deterministic SEIR type model","https://www.helmholtz-hzi.de/en/nc/research/research-topics/bacterial-and-viral-pathogens/epidemiology/team/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/HZI-AgeExtendedSEIR.yml"
"ICM / University of Warsaw","ICM-agentModel","Rafał Bartczuk, Łukasz Górski, Magdalena Gruziel-Słomka, Artur Kaczorek, Jan Kisielewski, Antoni Moszyński, Karol Niedzielewski, Jędrzej Nowosielski, Maciej Radwan, Franciszek Rakowski, Marcin Semeniuk, Jakub Zieliński","Agent-based model","https://covid-19.icm.edu.pl/en/model-description/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/ICM-agentModel.yml"
"IEM Health","IEM_Health-CovidProject","Brad Suchoski, Steve Stage, Heidi Gurung, Sid Baccam","SEIR model projections for daily incident confirmed COVID cases and deaths by using AI to fit actual cases observed.","https://iem.com/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/IEM_Health-CovidProject.yml"
"ILM","ILM-EKF","Stefan Heyder, Thomas Hotz","Extended Kalman filter based on reproduction equation","https://github.com/Stochastik-TU-Ilmenau","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/ILM-EKF.yml"
"Fraunhofer Institute for Industrial Mathematics ITWM","itwm-dSEIR","Jan Mohring, Neele Leithäuser, Michael Helmling","Integral equation model based on age cohorts taking into account vaccination and testing. The parameters are adjusted to the counted cases and deaths.","https://www.itwm.fraunhofer.de/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/itwm-dSEIR.yml"
"ITWW","ITWW-county_repro","Przemyslaw Biecek, Viktor Bezborodov, Marcin Bodych, Jan Pablo Burgard, Stefan Heyder, Thomas Hotz, Tyll Krüger","Forecasts of county level incidence based on regional reproduction numbers.","https://github.com/Stochastik-TU-Ilmenau","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/ITWW-county_repro.yml"
"JBUD","JBUD-HMXK","Jozef Budzinski","Heavily modified infection-age SIR-X model with waning immunity, vaccinations, seasonality and undetected cases. ","https://joebud.github.io/covid-19-analyses/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/JBUD-HMXK.yml"
"MOCOS group","MOCOS-agent1","Marek Bawiec, Marcin Bodych, Tyll Krueger, Tomasz Ozanski, Barbara Pabjan, Agata Migalska, Przemyslaw Biecek, Viktor Bezborodov, Ewa Szczurek, Ewaryst Rafajłowicz, Ewa Rafajłowicz, Wojciech Rafajłowicz","Agent-based microsimulation model","https://mocos.pl/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/MOCOS-agent1.yml"
"Masaryk University","MUNI-ARIMA","Andrea Kraus, David Kraus","ARIMA model with outlier detection fitted to transformed weekly aggregated series.","https://krausstat.shinyapps.io/covid19global/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/MUNI-ARIMA.yml"
"Department of Mathematics and Statistics Masaryk University Team","MUNI_DMS-SEIAR","Veronika Eclerova, Lenka Pribylova","SEIAR model with A compartment of absent unobserved infected estimated from hospital data with incorporated mobility data dependence; optimized to the compartment of all exposed (unobserved included)","https://webstudio.shinyapps.io/MAMES/","https://raw.githubusercontent.com/epiforecasts/covid19-forecast-hub-europe/main/model-metadata/MUNI_DMS-SEIAR.yml"
